original_area,canonical_name,category
Data Mining Algorithms,Data Mining Algorithms,Data Science
Data Science,Data Science,Data Science
Data-centric Astronomy,Data-centric Astronomy,Data Science
Deep Learning,Deep Learning,Deep Learning
"Deep learning, Spiking neural networks",Deep Learning & Spiking Neural Networks,AI & Machine Learning
Design of Net Zero Energy Buildings,Net Zero Energy Buildings,Hardware & Electronics
Distributed Machine Learning,Distributed Machine Learning,AI & Machine Learning
Distributed Systems,Distributed Systems,Systems & Networking
Distributed Systems & Cloud Computing,Distributed Systems & Cloud,Systems & Networking
EEG Signals ProcessingHuman Computer Interaction,EEG & HCI,HCI & UX
Education Technology,Education Technology,Data Science
Embedded Systems,Embedded Systems,Systems & Networking
Empirical Software Engineering,Empirical Software Engineering,Software Engineering
Explainability in AI,Explainable AI (XAI),Explainability & Ethics
Explainable AI,Explainable AI (XAI),Explainability & Ethics
Explainable AI (XAI),Explainable AI (XAI),Explainability & Ethics
Fault Detection and Fault Tolerance,Fault Detection & Tolerance,Software Engineering
Federated Learning,Federated Learning,AI & Machine Learning
Financial Market Analysis,Financial Market Analysis,Data Science
Flat Optics,Flat Optics,Hardware & Electronics
General Algorithms,General Algorithms,Theory & Algorithms
Generative Models,Generative Models,Computer Vision
Graph Theory,Graph Theory,Theory & Algorithms
HCI,Human-Computer Interaction,HCI & UX
HCI & Accessibility,HCI & Accessibility,HCI & UX
HCI (Human Computer Interaction),Human-Computer Interaction,HCI & UX
"HCI, Cybersecurity",HCI & Cybersecurity,HCI & UX
Healthcare & Bio,Healthcare & Bioinformatics,Bioinformatics & Healthcare
Healthcare Applications,Healthcare Applications,Bioinformatics & Healthcare
Histopathological Image Classification,Histopathological Image Classification,Computer Vision
Human Analytics,Human Analytics,Data Science
Human Computer Interaction (HCI),Human-Computer Interaction,HCI & UX
Human Factors in Computing,Human Factors in Computing,HCI & UX
Human-Centered AI,Human-Centered AI,HCI & UX
Human-Centered Computing,Human-Centered Computing,HCI & UX
Human-Computer Interaction (HCI),Human-Computer Interaction,HCI & UX
Image Generation,Image Generation,Computer Vision
Image Processing,Image Processing,Computer Vision
Image Processing & Computer Vision,Image Processing & Computer Vision,Computer Vision
Image Processing and Computer Vision,Image Processing & Computer Vision,Computer Vision
Image Restoration/Image Enhancement,Image Restoration & Enhancement,Computer Vision
Image Segmentation,Image Segmentation,Computer Vision
Information Extraction,Information Extraction,NLP
Information Retrieval,Information Retrieval,NLP
Information Security,Information Security,Security & Privacy
Information SecurityArtificial IntelligenceNLP,Information Security,Security & Privacy
Integrated Photonics,Integrated Photonics,Hardware & Electronics
Internet of Things,Internet of Things (IoT),Systems & Networking
IoT Security,IoT Security,Security & Privacy
Knowledge Distillation,Knowledge Distillation,AI & Machine Learning
LLM for Software Engineering (LLM4SE),LLM for Software Engineering,Large Language Models
Large Language Models,Large Language Models,Large Language Models
Large Language Models for Security,LLMs for Security,Large Language Models
Linear Programming,Linear Programming,Theory & Algorithms
Log-structured Merge-tree,Log-structured Merge-tree,Systems & Networking
Low-resource Language,Low-resource Language NLP,NLP
MIMO Hybrid Beamforming Systems,MIMO Hybrid Beamforming,Hardware & Electronics
ML & Data Science,Machine Learning & Data Science,AI & Machine Learning
"ML, LLM, NLP, Cryptography",Large Language Models,Large Language Models
Machine Learning,Machine Learning,AI & Machine Learning
Machine Learning (Applications and Ethics),Machine Learning (Ethics & Applications),AI & Machine Learning
Machine Learning and AI,Machine Learning,AI & Machine Learning
Machine Learning and Deep Learning,Machine Learning & Deep Learning,AI & Machine Learning
Machine Learning for Healthcare,ML for Healthcare,Bioinformatics & Healthcare
Machine Learning for NLP,ML for NLP,NLP
Machine Learning for Security,ML for Security,Security & Privacy
Machine Learning in Power Systems,ML in Power Systems,AI & Machine Learning
"Machine Learning,  Computer Vision",Machine Learning,AI & Machine Learning
Machine Vision,Machine Vision,AI & Machine Learning
Medical Image Analysis,Medical Image Analysis,Computer Vision
"Medical Image Processing, Mental Health",Medical Image Processing,Computer Vision
Medical Image and Data Analytics,Medical Image Analytics,Computer Vision
Memory Enhancement,Memory Enhancement,Bioinformatics & Healthcare
Meta-Heuristics,Metaheuristics,AI & Machine Learning
Metamaterials and Non-linear Optics,Metamaterials & Non-linear Optics,Hardware & Electronics
Mobile/Edge Computing,Mobile & Edge Computing,Systems & Networking
Model Optimization & Pruning,Model Optimization & Pruning,Explainability & Ethics
Multi-Agent Path Finding (MAPF),Multi-Agent Path Finding,Theory & Algorithms
Multi-Modal AI,Multimodal AI,AI & Machine Learning
Multi-modal Learning,Multimodal Learning,AI & Machine Learning
Multimodal AI,Multimodal AI,AI & Machine Learning
Multimodal Learning,Multimodal Learning,AI & Machine Learning
NLP,Natural Language Processing,NLP
NLP Applications,NLP Applications,NLP
NLP for Education,NLP for Education,NLP
Nanoelectronics,Nanoelectronics,Hardware & Electronics
Nanophotonics,Nanophotonics,Hardware & Electronics
Natural Language Processing,Natural Language Processing,NLP
Natural Language Processing (NLP),Natural Language Processing,NLP
Natural Language ProcessingImage Processing,Image Processing,Computer Vision
Natural Language ProcessingMental Health Informatics,NLP for Mental Health,NLP
Networking,Networking,Systems & Networking
Networking & IoT,Networking & IoT,Systems & Networking
NetworkingTechnical Education,Networking,Systems & Networking
Networks and Security,Networks & Security,Security & Privacy
Object Recognition,Object Recognition,Computer Vision
Optimization,Optimization,AI & Machine Learning
Optimization and Metaheuristic Algorithms,Optimization & Metaheuristics,AI & Machine Learning
Opto-electronics,Opto-electronics,Hardware & Electronics
Parallel Computing,Parallel Computing,Systems & Networking
Plasmonics,Plasmonics,Hardware & Electronics
Privacy Usability,Privacy Usability,Security & Privacy
Quantum Communication,Quantum Communication,Quantum Computing
Quantum Devices,Quantum Devices,Hardware & Electronics
Quantum Neural Networks (QNN),Quantum Neural Networks,Quantum Computing
RLHF and Agentic Workflows,RLHF & Agentic Workflows,AI & Machine Learning
Ranking Algorithms,Ranking Algorithms,Theory & Algorithms
Reinforcement Learning,Reinforcement Learning,AI & Machine Learning
Retrieval Augmented Generation,Retrieval Augmented Generation (RAG),Large Language Models
Robotics,Robotics,Robotics & Automation
Scene Understanding,Scene Understanding,Computer Vision
Secure & Interpretable LLMs for Communication Protocols (5G and beyond),Secure LLMs for 5G Protocols,Large Language Models
Security,Security,Security & Privacy
Security & Cybersecurity,Cybersecurity,Security & Privacy
Security Analysis,Security Analysis,Security & Privacy
Security Usability,Security Usability,Security & Privacy
Security and Privacy,Security & Privacy,Security & Privacy
Security for AI,Security for AI,Security & Privacy
Self-sovereign Identity (SSI),Self-sovereign Identity (SSI),Security & Privacy
Sensor-based Health Monitoring,Sensor-based Health Monitoring,Bioinformatics & Healthcare
Simulation and Modeling,Simulation & Modeling,Systems & Networking
Sleep Quality Research,Sleep Quality Research,Bioinformatics & Healthcare
Social Computing,Social Computing,Data Science
Social Media Sentiment AnalysisMalware and Intrusion Study,Sentiment Analysis,NLP
Software Development,Software Development,Software Engineering
Software Engineering,Software Engineering,Software Engineering
Software Engineering & HCI,Software Engineering & HCI,HCI & UX
Software Security,Software Security,Security & Privacy
Software Testing and Verification,Software Testing & Verification,Software Engineering
Software engineering,Software Engineering,Software Engineering
Spiking Neural Networks (SNN),Spiking Neural Networks,AI & Machine Learning
Systems of Linear Equations,Systems of Linear Equations,Theory & Algorithms
Task Scheduling in Cloud Computing,Task Scheduling in Cloud,Systems & Networking
Theory and Algorithms,Theory & Algorithms,Theory & Algorithms
Threat Intelligence,Threat Intelligence,Security & Privacy
Transfer Learning,Transfer Learning,AI & Machine Learning
Trust,Trust,Security & Privacy
Trustworthy AI/ XAI,Trustworthy AI & XAI,Explainability & Ethics
Trustworthy LLMs,Trustworthy LLMs,Large Language Models
Trustworthy Large Language Models,Trustworthy LLMs,Large Language Models
Usable Privacy and Security,Usable Privacy & Security,Security & Privacy
User-Centered Design,User-Centered Design,HCI & UX
VLSI,VLSI Design,Hardware & Electronics
Video/Scene Understanding,Video & Scene Understanding,Computer Vision
Vision-based AI,Vision-based AI,Computer Vision
Vision-based Automation,Vision-based Automation,Computer Vision
Wireless Communications,Wireless Communications,Hardware & Electronics
Zoned Namespace SSD,Zoned Namespace SSD,Systems & Networking
